,product_id,frequency,product_name,organic
72,15290,1864,Orange Bell Pepper,0
73,33198,1803,Sparkling Natural Mineral Water,0
74,27344,1788,Uncured Genoa Salami,0
75,18465,1767,Organic Grade A Free Range Large Brown Eggs,1
76,27521,1761,Organic Lacinato (Dinosaur) Kale,1
77,16759,1742,Organic Carrot Bunch,1
78,33731,1694,Grated Parmesan,0
79,9839,1653,Organic Broccoli,1
80,38739,1633,Hass Avocado,0
81,27156,1576,Organic Black Beans,1
82,23909,1540,2% Reduced Fat Milk,0
83,5785,1535,Organic Reduced Fat 2% Milk,1
84,46906,1527,Grape White/Green Seedless,0
85,196,1507,Soda,0
86,11777,1493,Red Raspberries,0
87,28199,1478,"Clementines, Bag",0
88,33000,1476,Pure Irish Butter,0
89,44142,1468,Red Onion,0
90,47144,1465,Unsweetened Original Almond Breeze Almond Milk,0
91,40604,1449,Feta Cheese Crumbles,0
92,5025,1445,Green Onions,0
93,42736,1435,Unsalted Butter,0
94,21709,1423,Sparkling Lemon Water,0
95,8193,1418,Russet Potato,0
96,9387,1379,Granny Smith Apples,0
97,37687,1362,Organic Spring Mix,1
98,20995,1361,Organic Broccoli Florets,1
99,34243,1351,Organic Baby Broccoli,1
100,6184,1351,Clementines,0
101,7781,1342,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,1
102,4210,1335,Whole Milk,0
103,4799,1324,Shredded Parmesan,0
104,3957,1298,100% Raw Coconut Water,0
105,31553,1284,Fresh Ginger Root,0
106,432,1277,Vanilla Almond Breeze Almond Milk,0
107,16185,1262,Sharp Cheddar Cheese,0
108,28849,1250,No Salt Added Black Beans,0
109,43295,1248,Unsweetened Vanilla Almond Milk,0
110,43789,1222,Organic Basil,1
111,26369,1221,Organic Roma Tomato,1
112,19348,1220,Fat Free Milk,0
113,41844,1218,Honey Nut Cheerios,0
114,260,1215,Cantaloupe,0
115,24489,1213,Organic Whole Strawberries,1
116,41787,1207,Bartlett Pears,0
117,38689,1206,Organic Reduced Fat Milk,1
118,42585,1186,Organic Extra Firm Tofu,1
119,8021,1183,100% Recycled Paper Towels,0
120,19678,1174,Organic Russet Potato,1
121,2295,1166,Yellow Bell Pepper,0
122,14992,1160,Green Beans,0
123,41220,1154,Organic Romaine Lettuce,1
124,24830,1152,Organic Romaine,1
125,44683,1149,Brussels Sprouts,0
126,11182,1147,Baby Spinach,0
127,42768,1141,Organic Garbanzo Beans,1
128,30233,1137,Organic Large Brown Grade AA Cage Free Eggs,1
129,5479,1132,Italian Sparkling Mineral Water,0
130,14947,1125,Pure Sparkling Water,0
131,22963,1123,Organic Roasted Turkey Breast,1
132,42828,1078,Whipped Cream Cheese,0
133,46802,1077,Pineapple Chunks,0
134,21288,1077,Blackberries,0
135,17948,1065,Frozen Organic Wild Blueberries,1
136,10246,1062,Organic Celery Hearts,1
137,25146,1054,Original Orange Juice,0
138,32655,1052,Organic Large Grade AA Brown Eggs,1
139,42701,1047,Organic Sour Cream,1
140,20842,1046,Total 0% Greek Yogurt,0
141,25659,1045,Organic Coconut Milk,1
142,21405,1041,"Organic Red Radish, Bunch",1
143,31343,1036,Shredded Mild Cheddar Cheese,0
144,43772,1024,Cherubs Heavenly Salad Tomatoes,0
145,23734,1022,Sour Cream,0
146,46676,993,Total 0% Nonfat Greek Yogurt,0
147,13870,991,Lightly Salted Baked Snap Pea Crisps,0
148,16953,991,Creamy Peanut Butter,0
149,32689,988,Romaine Hearts,0
150,43122,980,Organic Bartlett Pear,1
151,33754,973,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0
152,39408,959,Gala Apples,0
153,38293,958,Ground Turkey Breast,0
154,39475,951,Total Greek Strained Yogurt,0
155,8859,950,Natural Spring Water,0
156,29987,944,Shredded Mozzarella,0
157,6046,943,Boneless Skinless Chicken Breast,0
158,43768,943,Organic Bell Pepper,1
159,18362,938,Organic Bread with 21 Whole Grains,1
160,1940,931,Organic 2% Reduced Fat Milk,1
161,42342,928,Roasted Turkey Breast,0
162,36695,926,Organic Hothouse Cucumbers,1
163,48364,916,Sweet Onion,0
164,32864,914,Organic Baby Rainbow Carrots,1
165,26620,899,Peach Pear Flavored Sparkling Water,0
166,40310,897,Oven Roasted Turkey Breast,0
167,44987,878,Heavy Whipping Cream,0
168,48205,878,Spinach,0
169,46654,874,Organic Grade A Large Brown Eggs,1
170,5818,873,White Onion,0
171,18531,866,Organic Heavy Whipping Cream,1
172,1463,858,Organic Milk,1
173,30776,855,Organic Raw Kombucha Gingerade,1
174,5212,854,Watermelon Chunks,0
175,38383,850,Organic White Onions,1
176,30450,850,Creamy Almond Butter,0
177,35939,850,Organic Jalapeno Pepper,1
178,26165,847,Electrolyte Enhanced Water,0
179,38456,845,Large Grapefruit,0
180,890,837,Organic Diced Tomatoes,1
181,47672,835,Uncured Hickory Smoked Sunday Bacon,0
182,33120,834,Organic Egg Whites,1
183,28289,830,Organic Shredded Carrots,1
184,41149,823,Organic Riced Cauliflower,1
185,2086,821,Sustainably Soft Bath Tissue,0
186,31683,819,Original No Pulp 100% Florida Orange Juice,0
187,36011,811,Organic Fat Free Milk,1
188,18523,810,Total 2% All Natural Greek Strained Yogurt with Honey,0
189,35108,808,Salted Butter,0
190,3952,804,Organic Broccoli Crowns,1
191,47630,796,Medium Navel Orange,0
192,23288,793,Distilled Water,0
193,21019,791,Roasted Red Pepper Hummus,0
194,41290,791,Lemonade,0
195,47734,785,Organic Green Cabbage,1
196,15937,778,Shallot,0
197,44910,777,Organic Spring Mix Salad,1
198,4562,773,English Seedless Cucumber,0
199,13629,772,Organic Snipped Green Beans,1
